BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
ammp00,1,1.880533,3.93525,1.816815,7.400367,3.416581,2094.983278,319.268481,435.696825,0.11555,0.077854,0.304173,0.001157
ammp00,10,2.025892,3.973936,0.057931,8.050765,0.117362,19396.655518,16.681254,14.971252,0.054566,0.000221,0.256147,0.000719
ammp00,11,2.024842,3.978492,0.046604,8.055817,0.094367,19964.682274,18.613924,12.037588,0.054891,0.000183,0.256401,0.00069
ammp00,2,1.962367,4.014922,1.098861,7.878752,2.156369,4485.083612,388.318963,275.042479,0.079793,0.034457,0.276037,0.001101
ammp00,3,1.994781,4.043894,0.7051,8.066683,1.40652,7142.474916,117.521317,179.406981,0.065658,0.013655,0.265253,0.001019
ammp00,4,2.008295,3.995306,0.511825,8.023752,1.027895,8966.956522,92.591995,131.113929,0.059925,0.006539,0.261017,0.00095
ammp00,5,2.013754,4.054918,0.366447,8.165607,0.737934,11132.575251,71.025315,94.128293,0.058202,0.003192,0.259449,0.000881
ammp00,6,2.014281,4.145497,0.248955,8.350193,0.501465,13709.698997,39.896941,63.966115,0.058289,0.001605,0.259331,0.000817
ammp00,7,2.020416,4.020967,0.18323,8.124027,0.370201,15141.404682,45.670377,47.223235,0.056095,0.000942,0.257564,0.000791
ammp00,8,2.025067,3.953246,0.125814,8.005588,0.254781,16399.464883,32.365683,32.499852,0.054371,0.000604,0.256214,0.000767
ammp00,9,2.022867,4.010599,0.08915,8.112907,0.180338,18191.036789,10.315494,23.004692,0.055477,0.000342,0.256954,0.000733
applu00,1,2.624273,13.57326,12.983496,35.619937,34.072236,2519.598662,4516.037723,4340.448366,0.064503,0.061055,0.13385,0.007296
applu00,10,2.739925,13.583112,10.561472,37.21671,28.937641,24907.023411,3908.626496,3687.174419,0.033348,0.028287,0.100591,0.006695
applu00,11,2.745703,13.577622,10.376559,37.280118,28.49095,26900.602007,3730.005188,3630.153321,0.031756,0.026437,0.098836,0.006761
applu00,2,2.636748,13.573318,12.653973,35.789416,33.365335,5141.137124,4678.073651,4251.05294,0.061218,0.057717,0.129744,0.007459
applu00,3,2.640441,13.570818,12.332303,35.832947,32.56272,7932.307692,3807.305735,4148.382884,0.058409,0.054773,0.127965,0.007161
applu00,4,2.666222,13.579581,12.0278,36.206177,32.068784,10203.344482,4180.925207,4086.073531,0.053294,0.049336,0.121158,0.007421
applu00,5,2.682151,13.57878,11.732626,36.42034,31.468675,12723.745819,4164.708724,4009.706092,0.048797,0.044786,0.117002,0.007114
applu00,6,2.696537,13.572397,11.46605,36.598473,30.918628,15191.438127,4021.27777,3939.573687,0.04397,0.039611,0.111875,0.006642
applu00,7,2.715564,13.574666,11.200402,36.862877,30.415409,17703.812709,3652.956239,3875.555316,0.039702,0.035132,0.107477,0.007048
applu00,8,2.727839,13.57243,10.95752,37.023399,29.890345,20021.404682,3942.832442,3808.563546,0.036706,0.032199,0.104102,0.00659
applu00,9,2.73609,13.566311,10.756666,37.11865,29.431209,22549.832776,3998.408803,3750.037483,0.034583,0.029832,0.101726,0.006773
apsi00,1,2.291683,4.368119,4.021572,10.010344,9.216169,2597.190635,1189.319815,1175.703365,0.081664,0.080046,0.241207,0.049168
apsi00,10,2.368182,4.366505,2.685491,10.340681,6.359731,24829.16388,830.773956,811.385305,0.054216,0.04054,0.21722,0.050228
