BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
astar06,1,0.843491,13.949034,11.344347,11.765879,9.56885,2474.381271,1251.996246,1219.358817,0.279189,0.247468,0.437918,0.000911
astar06,10,1.071416,13.81148,1.014422,14.79784,1.086868,21887.090301,119.347554,138.502951,0.096156,0.027064,0.311882,0.001164
astar06,11,1.084243,13.801292,0.53192,14.963952,0.57673,23437.056856,126.972036,73.493338,0.084623,0.012113,0.30462,0.001136
astar06,2,0.884503,14.131161,9.124288,12.499054,8.07046,4785.819398,898.402736,1028.486894,0.243289,0.203793,0.411342,0.00107
astar06,3,0.921715,13.960085,7.278697,12.867216,6.708882,7232.374582,818.181904,854.988159,0.208834,0.165704,0.387197,0.000993
astar06,4,0.962055,13.920737,5.621018,13.392515,5.407729,10295.384615,670.037083,689.165681,0.181868,0.133179,0.368449,0.001013
astar06,5,0.993211,13.900128,4.209565,13.805766,4.180988,12077.324415,504.254328,532.816406,0.157633,0.104097,0.351898,0.000985
astar06,6,1.020732,13.87701,3.05054,14.164706,3.113783,14530.033445,334.48931,396.808829,0.136527,0.078045,0.337574,0.001061
astar06,7,1.044023,13.894347,2.116261,14.506015,2.209425,16414.180602,278.432756,281.563868,0.118303,0.055011,0.325294,0.001082
astar06,8,1.059067,13.881531,1.494745,14.701471,1.583035,18370.033445,158.327864,201.733502,0.105736,0.03891,0.317462,0.001041
astar06,9,1.062142,13.843923,0.990239,14.70421,1.051774,19868.628763,131.108752,134.029985,0.09374,0.02479,0.309019,0.001158
bwaves06,1,2.26629,2.019768,1.965447,4.577382,4.454274,2075.719064,581.503237,566.622074,0.00229,0.002132,0.098969,0.000986
bwaves06,10,2.267414,2.020352,1.832069,4.580974,4.154059,18630.100334,542.633024,528.461909,0.002211,0.002056,0.098668,0.001113
